#
# A.C. Norman 
# Bishop Heber High School
# 2012-03-20
#
# distance/m  time/s
2	      21.19
4	      25.06
6	      24.44
8	      25.91
10	      26.38
12	      26.44
14	      30.97
16	      33.20
18	      33.59
20	      36.10
22	      38.15
24	      38.82
26	      39.15
28	      39.47
30	      39.78
32	      40.12
34	      39.16
36	      40.69
38	      40.50
40	      41.75
42	      41.84
44	      42.03
44	      44.94
42	      45.94
40	      46.31
38	      45.81
36	      47.20
34	      45.93
